Pavarde                       Vardas                        Galutinis (Med.)
Pavarde1573                   Vardas1573                    5.00 
Pavarde1574                   Vardas1574                    6.00 
Pavarde1575                   Vardas1575                    4.00 
Pavarde1576                   Vardas1576                    4.00 
Pavarde1577                   Vardas1577                    7.00 
Pavarde1578                   Vardas1578                    6.00 
Pavarde1579                   Vardas1579                    3.00 
Pavarde158                    Vardas158                     6.00 
Pavarde1580                   Vardas1580                    4.00 
Pavarde1581                   Vardas1581                    5.00 
Pavarde1582                   Vardas1582                    6.00 
Pavarde1583                   Vardas1583                    7.00 
Pavarde1584                   Vardas1584                    7.00 
Pavarde1585                   Vardas1585                    6.00 
Pavarde1586                   Vardas1586                    2.00 
Pavarde1587                   Vardas1587                    4.00 
Pavarde1588                   Vardas1588                    4.00 
Pavarde1589                   Vardas1589                    8.00 
Pavarde159                    Vardas159                     5.00 
Pavarde1590                   Vardas1590                    4.00 
Pavarde1591                   Vardas1591                    7.00 
Pavarde1592                   Vardas1592                    6.00 
Pavarde1593                   Vardas1593                    6.00 
Pavarde1594                   Vardas1594                    4.00 
Pavarde1595                   Vardas1595                    5.00 
Pavarde1596                   Vardas1596                    7.00 
Pavarde1597                   Vardas1597                    5.00 
Pavarde1598                   Vardas1598                    6.00 
Pavarde1599                   Vardas1599                    5.00 
Pavarde16                     Vardas16                      6.00 
Pavarde160                    Vardas160                     5.00 
Pavarde1600                   Vardas1600                    4.00 
Pavarde1601                   Vardas1601                    7.00 
Pavarde1602                   Vardas1602                    4.00 
Pavarde1603                   Vardas1603                    4.00 
Pavarde1604                   Vardas1604                    6.00 
Pavarde1605                   Vardas1605                    6.00 
Pavarde1606                   Vardas1606                    4.00 
Pavarde1607                   Vardas1607                    4.00 
Pavarde1608                   Vardas1608                    6.00 
Pavarde1609                   Vardas1609                    5.00 
